DDI-DrugBank.d340.s0 Nelfinavir 0 9 B-drug form=Nelfinavir suf4=avir pref4=Nelf prev=_BoS_ next=is nextpref4=is nextsuf4=is capitalized
DDI-DrugBank.d340.s0 is 11 12 O form=is suf4=is pref4=is prevsuf4=avir prevpref4=Nelf prevupper prev=Nelfinavir next=an nextpref4=an nextsuf4=an
DDI-DrugBank.d340.s0 an 14 15 O form=an suf4=an pref4=an prevsuf4=is prevpref4=is prev=is next=inhibitor nextpref4=inhi nextsuf4=itor
DDI-DrugBank.d340.s0 inhibitor 17 25 O form=inhibitor suf4=itor pref4=inhi prevsuf4=an prevpref4=an prev=an next=of nextpref4=of nextsuf4=of
DDI-DrugBank.d340.s0 of 27 28 O form=of suf4=of pref4=of prevsuf4=itor prevpref4=inhi prev=inhibitor next=CYP3A nextpref4=CYP3 nextsuf4=YP3A
DDI-DrugBank.d340.s0 CYP3A 30 34 O form=CYP3A suf4=YP3A pref4=CYP3 prevsuf4=of prevpref4=of prev=of next=( nextpref4=( nextsuf4=( capitalized isupper
DDI-DrugBank.d340.s0 ( 36 36 O form=( suf4=( pref4=( prevsuf4=YP3A prevpref4=CYP3 prevupper prev=CYP3A next=cytochrome nextpref4=cyto nextsuf4=rome
DDI-DrugBank.d340.s0 cytochrome 37 46 O form=cytochrome suf4=rome pref4=cyto prevsuf4=( prevpref4=( prev=( next=P450 nextpref4=P450 nextsuf4=P450
DDI-DrugBank.d340.s0 P450 48 51 O form=P450 suf4=P450 pref4=P450 prevsuf4=rome prevpref4=cyto prev=cytochrome next=3A) nextpref4=3A) nextsuf4=3A) capitalized isupper
DDI-DrugBank.d340.s0 3A) 53 55 O form=3A) suf4=3A) pref4=3A) prevsuf4=P450 prevpref4=P450 prevupper prev=P450 next=. nextpref4=. nextsuf4=. isupper
DDI-DrugBank.d340.s0 . 56 56 O form=. suf4=. pref4=. prevsuf4=3A) prevpref4=3A) prev=3A)

DDI-DrugBank.d340.s1 Coadministration 0 15 O form=Coadministration suf4=tion pref4=Coad prev=_BoS_ next=of nextpref4=of nextsuf4=of capitalized
DDI-DrugBank.d340.s1 of 17 18 O form=of suf4=of pref4=of prevsuf4=tion prevpref4=Coad prevupper prev=Coadministration next=VIRACEPT nextpref4=VIRA nextsuf4=CEPT
DDI-DrugBank.d340.s1 VIRACEPT 20 27 B-brand form=VIRACEPT suf4=CEPT pref4=VIRA prevsuf4=of prevpref4=of prev=of next=and nextpref4=and nextsuf4=and capitalized isupper
DDI-DrugBank.d340.s1 and 29 31 O form=and suf4=and pref4=and prevsuf4=CEPT prevpref4=VIRA prevupper prev=VIRACEPT next=drugs nextpref4=drug nextsuf4=rugs
DDI-DrugBank.d340.s1 drugs 33 37 O form=drugs suf4=rugs pref4=drug prevsuf4=and prevpref4=and prev=and next=primarily nextpref4=prim nextsuf4=rily
DDI-DrugBank.d340.s1 primarily 39 47 O form=primarily suf4=rily pref4=prim prevsuf4=rugs prevpref4=drug prev=drugs next=metabolized nextpref4=meta nextsuf4=ized
DDI-DrugBank.d340.s1 metabolized 49 59 O form=metabolized suf4=ized pref4=meta prevsuf4=rily prevpref4=prim prev=primarily next=by nextpref4=by nextsuf4=by
DDI-DrugBank.d340.s1 by 61 62 O form=by suf4=by pref4=by prevsuf4=ized prevpref4=meta prev=metabolized next=CYP3A nextpref4=CYP3 nextsuf4=YP3A
DDI-DrugBank.d340.s1 CYP3A 64 68 O form=CYP3A suf4=YP3A pref4=CYP3 prevsuf4=by prevpref4=by prev=by next=(e.g. nextpref4=(e.g nextsuf4=e.g. capitalized isupper
DDI-DrugBank.d340.s1 (e.g. 70 74 O form=(e.g. suf4=e.g. pref4=(e.g prevsuf4=YP3A prevpref4=CYP3 prevupper prev=CYP3A next=, nextpref4=, nextsuf4=,
DDI-DrugBank.d340.s1 , 75 75 O form=, suf4=, pref4=, prevsuf4=e.g. prevpref4=(e.g prev=(e.g. next=dihydropyridine nextpref4=dihy nextsuf4=dine
DDI-DrugBank.d340.s1 dihydropyridine 77 91 B-group form=dihydropyridine suf4=dine pref4=dihy prevsuf4=, prevpref4=, prev=, next=calcium nextpref4=calc nextsuf4=cium
DDI-DrugBank.d340.s1 calcium 93 99 I-group form=calcium suf4=cium pref4=calc prevsuf4=dine prevpref4=dihy prev=dihydropyridine next=channel nextpref4=chan nextsuf4=nnel
DDI-DrugBank.d340.s1 channel 101 107 I-group form=channel suf4=nnel pref4=chan prevsuf4=cium prevpref4=calc prev=calcium next=blockers) nextpref4=bloc nextsuf4=ers)
DDI-DrugBank.d340.s1 blockers) 109 117 O form=blockers) suf4=ers) pref4=bloc prevsuf4=nnel prevpref4=chan prev=channel next=may nextpref4=may nextsuf4=may
DDI-DrugBank.d340.s1 may 119 121 O form=may suf4=may pref4=may prevsuf4=ers) prevpref4=bloc prev=blockers) next=result nextpref4=resu nextsuf4=sult
DDI-DrugBank.d340.s1 result 123 128 O form=result suf4=sult pref4=resu prevsuf4=may prevpref4=may prev=may next=in nextpref4=in nextsuf4=in
DDI-DrugBank.d340.s1 in 130 131 O form=in suf4=in pref4=in prevsuf4=sult prevpref4=resu prev=result next=increased nextpref4=incr nextsuf4=ased
DDI-DrugBank.d340.s1 increased 133 141 O form=increased suf4=ased pref4=incr prevsuf4=in prevpref4=in prev=in next=plasma nextpref4=plas nextsuf4=asma
DDI-DrugBank.d340.s1 plasma 143 148 O form=plasma suf4=asma pref4=plas prevsuf4=ased prevpref4=incr prev=increased next=concentrations nextpref4=conc nextsuf4=ions
DDI-DrugBank.d340.s1 concentrations 150 163 O form=concentrations suf4=ions pref4=conc prevsuf4=asma prevpref4=plas prev=plasma next=of nextpref4=of nextsuf4=of
DDI-DrugBank.d340.s1 of 165 166 O form=of suf4=of pref4=of prevsuf4=ions prevpref4=conc prev=concentrations next=the nextpref4=the nextsuf4=the
DDI-DrugBank.d340.s1 the 168 170 O form=the suf4=the pref4=the prevsuf4=of prevpref4=of prev=of next=other nextpref4=othe nextsuf4=ther
DDI-DrugBank.d340.s1 other 172 176 O form=other suf4=ther pref4=othe prevsuf4=the prevpref4=the prev=the next=drug nextpref4=drug nextsuf4=drug
DDI-DrugBank.d340.s1 drug 178 181 O form=drug suf4=drug pref4=drug prevsuf4=ther prevpref4=othe prev=other next=that nextpref4=that nextsuf4=that
DDI-DrugBank.d340.s1 that 183 186 O form=that suf4=that pref4=that prevsuf4=drug prevpref4=drug prev=drug next=could nextpref4=coul nextsuf4=ould
DDI-DrugBank.d340.s1 could 188 192 O form=could suf4=ould pref4=coul prevsuf4=that prevpref4=that prev=that next=increase nextpref4=incr nextsuf4=ease
DDI-DrugBank.d340.s1 increase 194 201 O form=increase suf4=ease pref4=incr prevsuf4=ould prevpref4=coul prev=could next=or nextpref4=or nextsuf4=or
DDI-DrugBank.d340.s1 or 203 204 O form=or suf4=or pref4=or prevsuf4=ease prevpref4=incr prev=increase next=prolong nextpref4=prol nextsuf4=long
DDI-DrugBank.d340.s1 prolong 206 212 O form=prolong suf4=long pref4=prol prevsuf4=or prevpref4=or prev=or next=both nextpref4=both nextsuf4=both
DDI-DrugBank.d340.s1 both 214 217 O form=both suf4=both pref4=both prevsuf4=long prevpref4=prol prev=prolong next=its nextpref4=its nextsuf4=its
DDI-DrugBank.d340.s1 its 219 221 O form=its suf4=its pref4=its prevsuf4=both prevpref4=both prev=both next=therapeutic nextpref4=ther nextsuf4=utic
DDI-DrugBank.d340.s1 therapeutic 223 233 O form=therapeutic suf4=utic pref4=ther prevsuf4=its prevpref4=its prev=its next=and nextpref4=and nextsuf4=and
DDI-DrugBank.d340.s1 and 235 237 O form=and suf4=and pref4=and prevsuf4=utic prevpref4=ther prev=therapeutic next=adverse nextpref4=adve nextsuf4=erse
DDI-DrugBank.d340.s1 adverse 239 245 O form=adverse suf4=erse pref4=adve prevsuf4=and prevpref4=and prev=and next=effects nextpref4=effe nextsuf4=ects
DDI-DrugBank.d340.s1 effects 247 253 O form=effects suf4=ects pref4=effe prevsuf4=erse prevpref4=adve prev=adverse next=. nextpref4=. nextsuf4=.
DDI-DrugBank.d340.s1 . 254 254 O form=. suf4=. pref4=. prevsuf4=ects prevpref4=effe prev=effects

