DDI-DrugBank.d481.s0 Milk 0 3 O form=Milk suf4=Milk prev=_BoS_ next=, capitalized
DDI-DrugBank.d481.s0 , 4 4 O form=, suf4=, prev=Milk next=milk
DDI-DrugBank.d481.s0 milk 6 9 O form=milk suf4=milk prev=, next=products
DDI-DrugBank.d481.s0 products 11 18 O form=products suf4=ucts prev=milk next=,
DDI-DrugBank.d481.s0 , 19 19 O form=, suf4=, prev=products next=and
DDI-DrugBank.d481.s0 and 21 23 O form=and suf4=and prev=, next=calcium-rich
DDI-DrugBank.d481.s0 calcium-rich 25 36 O form=calcium-rich suf4=rich prev=and next=foods
DDI-DrugBank.d481.s0 foods 38 42 O form=foods suf4=oods prev=calcium-rich next=or
DDI-DrugBank.d481.s0 or 44 45 O form=or suf4=or prev=foods next=drugs
DDI-DrugBank.d481.s0 drugs 47 51 O form=drugs suf4=rugs prev=or next=may
DDI-DrugBank.d481.s0 may 53 55 O form=may suf4=may prev=drugs next=impair
DDI-DrugBank.d481.s0 impair 57 62 O form=impair suf4=pair prev=may next=the
DDI-DrugBank.d481.s0 the 64 66 O form=the suf4=the prev=impair next=absorption
DDI-DrugBank.d481.s0 absorption 68 77 O form=absorption suf4=tion prev=the next=of
DDI-DrugBank.d481.s0 of 79 80 O form=of suf4=of prev=absorption next=EMCYT
DDI-DrugBank.d481.s0 EMCYT 82 86 B-brand form=EMCYT suf4=MCYT prev=of next=. capitalized
DDI-DrugBank.d481.s0 . 87 87 O form=. suf4=. prev=EMCYT

DDI-MedLine.d63.s0 Differential 0 11 O form=Differential suf4=tial prev=_BoS_ next=actions capitalized
DDI-MedLine.d63.s0 actions 13 19 O form=actions suf4=ions prev=Differential next=of
DDI-MedLine.d63.s0 of 21 22 O form=of suf4=of prev=actions next=intrathecal
DDI-MedLine.d63.s0 intrathecal 24 34 O form=intrathecal suf4=ecal prev=of next=naloxone
DDI-MedLine.d63.s0 naloxone 36 43 O form=naloxone suf4=xone prev=intrathecal next=on
DDI-MedLine.d63.s0 on 45 46 O form=on suf4=on prev=naloxone next=blocking
DDI-MedLine.d63.s0 blocking 48 55 O form=blocking suf4=king prev=on next=the
DDI-MedLine.d63.s0 the 57 59 O form=the suf4=the prev=blocking next=tail-flick
DDI-MedLine.d63.s0 tail-flick 61 70 O form=tail-flick suf4=lick prev=the next=inhibition
DDI-MedLine.d63.s0 inhibition 72 81 O form=inhibition suf4=tion prev=tail-flick next=induced
DDI-MedLine.d63.s0 induced 83 89 O form=induced suf4=uced prev=inhibition next=by
DDI-MedLine.d63.s0 by 91 92 O form=by suf4=by prev=induced next=intraventricular
DDI-MedLine.d63.s0 intraventricular 94 109 O form=intraventricular suf4=ular prev=by next=beta-endorphin
DDI-MedLine.d63.s0 beta-endorphin 111 124 O form=beta-endorphin suf4=phin prev=intraventricular next=and
DDI-MedLine.d63.s0 and 126 128 O form=and suf4=and prev=beta-endorphin next=morphine
DDI-MedLine.d63.s0 morphine 130 137 B-drug form=morphine suf4=hine prev=and next=in
DDI-MedLine.d63.s0 in 139 140 O form=in suf4=in prev=morphine next=rats
DDI-MedLine.d63.s0 rats 142 145 O form=rats suf4=rats prev=in next=.
DDI-MedLine.d63.s0 . 146 146 O form=. suf4=. prev=rats

DDI-MedLine.d63.s1 In 0 1 O form=In suf4=In prev=_BoS_ next=the capitalized
DDI-MedLine.d63.s1 the 3 5 O form=the suf4=the prev=In next=present
DDI-MedLine.d63.s1 present 7 13 O form=present suf4=sent prev=the next=study
DDI-MedLine.d63.s1 study 15 19 O form=study suf4=tudy prev=present next=,
DDI-MedLine.d63.s1 , 20 20 O form=, suf4=, prev=study next=it
DDI-MedLine.d63.s1 it 22 23 O form=it suf4=it prev=, next=is
DDI-MedLine.d63.s1 is 25 26 O form=is suf4=is prev=it next=proposed
DDI-MedLine.d63.s1 proposed 28 35 O form=proposed suf4=osed prev=is next=that
DDI-MedLine.d63.s1 that 37 40 O form=that suf4=that prev=proposed next=the
DDI-MedLine.d63.s1 the 42 44 O form=the suf4=the prev=that next=opioids
DDI-MedLine.d63.s1 opioids 46 52 B-group form=opioids suf4=oids prev=the next=applied
DDI-MedLine.d63.s1 applied 54 60 O form=applied suf4=lied prev=opioids next=to
DDI-MedLine.d63.s1 to 62 63 O form=to suf4=to prev=applied next=supraspinal
DDI-MedLine.d63.s1 supraspinal 65 75 O form=supraspinal suf4=inal prev=to next=brain
DDI-MedLine.d63.s1 brain 77 81 O form=brain suf4=rain prev=supraspinal next=sites
DDI-MedLine.d63.s1 sites 83 87 O form=sites suf4=ites prev=brain next=produced
DDI-MedLine.d63.s1 produced 89 96 O form=produced suf4=uced prev=sites next=their
DDI-MedLine.d63.s1 their 98 102 O form=their suf4=heir prev=produced next=analgesic
DDI-MedLine.d63.s1 analgesic 104 112 O form=analgesic suf4=esic prev=their next=effects
DDI-MedLine.d63.s1 effects 114 120 O form=effects suf4=ects prev=analgesic next=by
DDI-MedLine.d63.s1 by 122 123 O form=by suf4=by prev=effects next=the
DDI-MedLine.d63.s1 the 125 127 O form=the suf4=the prev=by next=activation
DDI-MedLine.d63.s1 activation 129 138 O form=activation suf4=tion prev=the next=of
DDI-MedLine.d63.s1 of 140 141 O form=of suf4=of prev=activation next=different
DDI-MedLine.d63.s1 different 143 151 O form=different suf4=rent prev=of next=descending
DDI-MedLine.d63.s1 descending 153 162 O form=descending suf4=ding prev=different next=pain
DDI-MedLine.d63.s1 pain 164 167 O form=pain suf4=pain prev=descending next=inhibitory
DDI-MedLine.d63.s1 inhibitory 169 178 O form=inhibitory suf4=tory prev=pain next=systems
DDI-MedLine.d63.s1 systems 180 186 O form=systems suf4=tems prev=inhibitory next=.
DDI-MedLine.d63.s1 . 187 187 O form=. suf4=. prev=systems

DDI-MedLine.d63.s2 The 0 2 O form=The suf4=The prev=_BoS_ next=blockade capitalized
DDI-MedLine.d63.s2 blockade 4 11 O form=blockade suf4=kade prev=The next=of
DDI-MedLine.d63.s2 of 13 14 O form=of suf4=of prev=blockade next=the
DDI-MedLine.d63.s2 the 16 18 O form=the suf4=the prev=of next=spinal
DDI-MedLine.d63.s2 spinal 20 25 O form=spinal suf4=inal prev=the next=endorphinergic
DDI-MedLine.d63.s2 endorphinergic 27 40 O form=endorphinergic suf4=rgic prev=spinal next=system
DDI-MedLine.d63.s2 system 42 47 O form=system suf4=stem prev=endorphinergic next=by
DDI-MedLine.d63.s2 by 49 50 O form=by suf4=by prev=system next=intrathecal
DDI-MedLine.d63.s2 intrathecal 52 62 O form=intrathecal suf4=ecal prev=by next=naloxone
DDI-MedLine.d63.s2 naloxone 64 71 O form=naloxone suf4=xone prev=intrathecal next=on
DDI-MedLine.d63.s2 on 73 74 O form=on suf4=on prev=naloxone next=the
DDI-MedLine.d63.s2 the 76 78 O form=the suf4=the prev=on next=production
DDI-MedLine.d63.s2 production 80 89 O form=production suf4=tion prev=the next=of
DDI-MedLine.d63.s2 of 91 92 O form=of suf4=of prev=production next=tail-flick
DDI-MedLine.d63.s2 tail-flick 94 103 O form=tail-flick suf4=lick prev=of next=inhibition
DDI-MedLine.d63.s2 inhibition 105 114 O form=inhibition suf4=tion prev=tail-flick next=induced
DDI-MedLine.d63.s2 induced 116 122 O form=induced suf4=uced prev=inhibition next=by
DDI-MedLine.d63.s2 by 124 125 O form=by suf4=by prev=induced next=intraventricular
DDI-MedLine.d63.s2 intraventricular 127 142 O form=intraventricular suf4=ular prev=by next=beta-endorphin
DDI-MedLine.d63.s2 beta-endorphin 144 157 O form=beta-endorphin suf4=phin prev=intraventricular next=and
DDI-MedLine.d63.s2 and 159 161 O form=and suf4=and prev=beta-endorphin next=morphine
DDI-MedLine.d63.s2 morphine 163 170 B-drug form=morphine suf4=hine prev=and next=was
DDI-MedLine.d63.s2 was 172 174 O form=was suf4=was prev=morphine next=then
DDI-MedLine.d63.s2 then 176 179 O form=then suf4=then prev=was next=studied
DDI-MedLine.d63.s2 studied 181 187 O form=studied suf4=died prev=then next=.
DDI-MedLine.d63.s2 . 188 188 O form=. suf4=. prev=studied

DDI-MedLine.d63.s3 Intraventricular 0 15 O form=Intraventricular suf4=ular prev=_BoS_ next=injection capitalized
DDI-MedLine.d63.s3 injection 17 25 O form=injection suf4=tion prev=Intraventricular next=of
DDI-MedLine.d63.s3 of 27 28 O form=of suf4=of prev=injection next=beta-endorphin
DDI-MedLine.d63.s3 beta-endorphin 30 43 O form=beta-endorphin suf4=phin prev=of next=and
DDI-MedLine.d63.s3 and 45 47 O form=and suf4=and prev=beta-endorphin next=morphine
DDI-MedLine.d63.s3 morphine 49 56 B-drug form=morphine suf4=hine prev=and next=produced
DDI-MedLine.d63.s3 produced 58 65 O form=produced suf4=uced prev=morphine next=an
DDI-MedLine.d63.s3 an 67 68 O form=an suf4=an prev=produced next=inhibition
DDI-MedLine.d63.s3 inhibition 70 79 O form=inhibition suf4=tion prev=an next=of
DDI-MedLine.d63.s3 of 81 82 O form=of suf4=of prev=inhibition next=the
DDI-MedLine.d63.s3 the 84 86 O form=the suf4=the prev=of next=tail-flick
DDI-MedLine.d63.s3 tail-flick 88 97 O form=tail-flick suf4=lick prev=the next=response
DDI-MedLine.d63.s3 response 99 106 O form=response suf4=onse prev=tail-flick next=to
DDI-MedLine.d63.s3 to 108 109 O form=to suf4=to prev=response next=the
DDI-MedLine.d63.s3 the 111 113 O form=the suf4=the prev=to next=heat
DDI-MedLine.d63.s3 heat 115 118 O form=heat suf4=heat prev=the next=stimulus
DDI-MedLine.d63.s3 stimulus 120 127 O form=stimulus suf4=ulus prev=heat next=in
DDI-MedLine.d63.s3 in 129 130 O form=in suf4=in prev=stimulus next=rats
DDI-MedLine.d63.s3 rats 132 135 O form=rats suf4=rats prev=in next=.
DDI-MedLine.d63.s3 . 136 136 O form=. suf4=. prev=rats

DDI-MedLine.d63.s4 Intrathecal 0 10 O form=Intrathecal suf4=ecal prev=_BoS_ next=injection capitalized
DDI-MedLine.d63.s4 injection 12 20 O form=injection suf4=tion prev=Intrathecal next=of
DDI-MedLine.d63.s4 of 22 23 O form=of suf4=of prev=injection next=naloxone
DDI-MedLine.d63.s4 naloxone 25 32 O form=naloxone suf4=xone prev=of next=at
DDI-MedLine.d63.s4 at 34 35 O form=at suf4=at prev=naloxone next=doses
DDI-MedLine.d63.s4 doses 37 41 O form=doses suf4=oses prev=at next=of
DDI-MedLine.d63.s4 of 43 44 O form=of suf4=of prev=doses next=0.4
DDI-MedLine.d63.s4 0.4 46 48 O form=0.4 suf4=0.4 prev=of next=to
DDI-MedLine.d63.s4 to 50 51 O form=to suf4=to prev=0.4 next=40
DDI-MedLine.d63.s4 40 53 54 O form=40 suf4=40 prev=to next=micrograms
DDI-MedLine.d63.s4 micrograms 56 65 O form=micrograms suf4=rams prev=40 next=caused
DDI-MedLine.d63.s4 caused 67 72 O form=caused suf4=used prev=micrograms next=a
DDI-MedLine.d63.s4 a 74 74 O form=a suf4=a prev=caused next=dose-related
DDI-MedLine.d63.s4 dose-related 76 87 O form=dose-related suf4=ated prev=a next=blockade
DDI-MedLine.d63.s4 blockade 89 96 O form=blockade suf4=kade prev=dose-related next=of
DDI-MedLine.d63.s4 of 98 99 O form=of suf4=of prev=blockade next=the
DDI-MedLine.d63.s4 the 101 103 O form=the suf4=the prev=of next=inhibition
DDI-MedLine.d63.s4 inhibition 105 114 O form=inhibition suf4=tion prev=the next=of
DDI-MedLine.d63.s4 of 116 117 O form=of suf4=of prev=inhibition next=the
DDI-MedLine.d63.s4 the 119 121 O form=the suf4=the prev=of next=tail-flick
DDI-MedLine.d63.s4 tail-flick 123 132 O form=tail-flick suf4=lick prev=the next=response
DDI-MedLine.d63.s4 response 134 141 O form=response suf4=onse prev=tail-flick next=induced
DDI-MedLine.d63.s4 induced 143 149 O form=induced suf4=uced prev=response next=by
