DDI-DrugBank.d340.s1 DDI-DrugBank.d340.s1.e0 DDI-DrugBank.d340.s1.e1 null count_not=0 mechanism_guess special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=0 neg_word_mid=0 neg_word_end=0 num_keywords=1 words_between=7 count_drugs=0
DDI-DrugBank.d340.s3 DDI-DrugBank.d340.s3.e0 DDI-DrugBank.d340.s3.e1 null count_not=0 mechanism_guess special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=0 neg_word_mid=0 neg_word_end=0 num_keywords=1 words_between=7 count_drugs=0 sub_obj
DDI-DrugBank.d340.s4 DDI-DrugBank.d340.s4.e0 DDI-DrugBank.d340.s4.e1 null count_not=0 mechanism_guess special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=0 neg_word_mid=0 neg_word_end=0 num_keywords=1 words_between=7 count_drugs=0 sub_obj
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e0 DDI-DrugBank.d340.s5.e1 null count_not=0 special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=1 neg_word_mid=0 neg_word_end=0 num_keywords=0 words_between=1 separated_by_and count_drugs=0
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e0 DDI-DrugBank.d340.s5.e2 null count_not=0 special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=1 neg_word_mid=0 neg_word_end=0 num_keywords=0 words_between=2 count_drugs=1
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e0 DDI-DrugBank.d340.s5.e3 null 
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e0 DDI-DrugBank.d340.s5.e4 null count_not=0 special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=1 neg_word_mid=0 neg_word_end=0 num_keywords=0 words_between=3 count_drugs=3
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e0 DDI-DrugBank.d340.s5.e5 null count_not=0 special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=1 neg_word_mid=0 neg_word_end=0 num_keywords=0 words_between=4 count_drugs=4
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e0 DDI-DrugBank.d340.s5.e6 null count_not=0 special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=1 neg_word_mid=0 neg_word_end=0 num_keywords=0 words_between=5 count_drugs=5
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e0 DDI-DrugBank.d340.s5.e7 null count_not=0 special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=1 neg_word_mid=0 neg_word_end=0 num_keywords=0 words_between=7 count_drugs=6
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e1 DDI-DrugBank.d340.s5.e2 null count_not=0 special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=1 neg_word_mid=0 neg_word_end=0 num_keywords=0 words_between=1 separated_by_comma count_drugs=0 both_head
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e1 DDI-DrugBank.d340.s5.e3 null 
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e1 DDI-DrugBank.d340.s5.e4 null count_not=0 special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=1 neg_word_mid=0 neg_word_end=0 num_keywords=0 words_between=2 count_drugs=2 both_head
DDI-DrugBank.d340.s5 DDI-DrugBank.d340.s5.e1 DDI-DrugBank.d340.s5.e5 null count_not=0 special_w=0 special_w_pos_begin=0 special_w_pos_mid=0 special_w_pos_end=0 neg_word_begin=1 neg_word_mid=0 neg_word_end=0 num_keywords=0 words_between=3 count_drugs=3 both_head
